"string_id","file_path","alt_text","system"
"agov","apps/cms/data/attachments/agov.jpg","Ago",false
"chlogin","apps/cms/data/attachments/chlogin.jpg","CH Login",false
"eda","apps/cms/data/attachments/eda.jpg","EDA",false
"eiamsquid","apps/cms/data/attachments/eiamsquid.svg","Eiamsquid",false
"italy","apps/cms/data/attachments/italy.jpg","Italy",false
"switzerland","apps/cms/data/attachments/switzerland.jpg","Switzerland",false
"france","apps/cms/data/attachments/france.jpg","France",false
"greece","apps/cms/data/attachments/greece.jpg","Greece",false
